period_key,report_period,period_type,report_year,report_month,page_url,excel_url,publish_date,publish_date_source,breeding_sow_inventory,breeding_sow_inventory_unit,breeding_sow_inventory_indicator_raw,breeding_sow_inventory_mom,breeding_sow_inventory_yoy,breeding_sow_inventory_period_type,hog_exfarm_price,hog_exfarm_price_unit,hog_exfarm_price_indicator_raw,hog_exfarm_price_mom,hog_exfarm_price_yoy,parsing_source,raw_html_path,raw_excel_path,validation_flag,validation_notes
2022-11,2022-11,month,2022,11,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202211/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202211/202212/P020221230509198122964.xlsx,2022-12-30,excel_url_token,4388.0,万头,2022年11月末能繁母猪存栏（万头）,0.002,0.021,quarter_end_stock,25.7,元/公斤,2022年11月份全国生猪出场价格（元/公斤）,-0.062,0.437,html_table,data/raw/moa_hog_monthly/page_html/2022-11.html,data/raw/moa_hog_monthly/excel_files/2022-11.xlsx,ok,
2022-12,2022-12,month,2022,12,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202212/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202212/202301/P020230131561948688768.xlsx,2023-01-31,excel_url_token,4390.0,万头,2022年4季度末能繁母猪存栏（万头）,0.006,0.014,quarter_end_stock,20.93,元/公斤,2022年12月份全国生猪出场价格（元/公斤）,-0.186,0.166,html_table,data/raw/moa_hog_monthly/page_html/2022-12.html,data/raw/moa_hog_monthly/excel_files/2022-12.xlsx,ok,
2023-01,2023-01,month,2023,1,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202301/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202301/202303/P020230301387763450538.xlsx,2023-03-01,excel_url_token,4367.0,万头,2023年1月末能繁母猪存栏（万头）,-0.005,0.018,quarter_end_stock,16.83,元/公斤,2023年1月份全国生猪出场价格（元/公斤）,-0.196,0.06,html_table,data/raw/moa_hog_monthly/page_html/2023-01.html,data/raw/moa_hog_monthly/excel_files/2023-01.xlsx,ok,
2023-02,2023-02,month,2023,2,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202302/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202302/202303/P020230329561191434424.xlsx,2023-03-29,excel_url_token,4343.0,万头,2023年2月末能繁母猪存栏（万头）,-0.006,0.017,quarter_end_stock,14.9,元/公斤,2023年2月份全国生猪出场价格（元/公斤）,-0.115,0.052,html_table,data/raw/moa_hog_monthly/page_html/2023-02.html,data/raw/moa_hog_monthly/excel_files/2023-02.xlsx,ok,
2023-03,2023-03,month,2023,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202303/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202303/202304/P020230427572273514434.xlsx,2023-04-27,excel_url_token,4305.0,万头,2023年1季度末能繁母猪存栏（万头）,-0.019,0.029,quarter_end_stock,15.54,元/公斤,2023年3月份全国生猪出场价格（元/公斤）,0.043,0.165,html_table,data/raw/moa_hog_monthly/page_html/2023-03.html,data/raw/moa_hog_monthly/excel_files/2023-03.xlsx,ok,
2023-04,2023-04,month,2023,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202304/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202304/202305/P020230529505097517767.xlsx,2023-05-29,excel_url_token,4284.0,万头,2023年4月末能繁母猪存栏（万头）,-0.005,0.026,quarter_end_stock,14.61,元/公斤,2023年4月份全国生猪出场价格（元/公斤）,-0.06,0.039,html_table,data/raw/moa_hog_monthly/page_html/2023-04.html,data/raw/moa_hog_monthly/excel_files/2023-04.xlsx,ok,
2023-05,2023-05,month,2023,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202305/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202305/202306/P020230630508256229315.xlsx,2023-06-30,excel_url_token,4258.0,万头,2023年5月末能繁母猪存栏（万头）,-0.006,0.016,quarter_end_stock,14.47,元/公斤,2023年5月份全国生猪出场价格（元/公斤）,-0.01,-0.091,html_table,data/raw/moa_hog_monthly/page_html/2023-05.html,data/raw/moa_hog_monthly/excel_files/2023-05.xlsx,ok,
2023-06,2023-06,month,2023,6,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202306/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202306/202307/P020230726460724195837.xlsx,2023-07-26,excel_url_token,4296.0,万头,2023年2季度末能繁母猪存栏（万头）,-0.002,0.005,quarter_end_stock,14.3,元/公斤,2023年6月份全国生猪出场价格（元/公斤）,-0.012,-0.166,html_table,data/raw/moa_hog_monthly/page_html/2023-06.html,data/raw/moa_hog_monthly/excel_files/2023-06.xlsx,ok,
2023-07,2023-07,month,2023,7,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202307/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202307/202308/P020230828538296645353.xlsx,2023-08-28,excel_url_token,4271.0,万头,2023年7月末能繁母猪存栏（万头）,-0.006,-0.006,quarter_end_stock,14.26,元/公斤,2023年7月份全国生猪出场价格（元/公斤）,-0.003,-0.368,html_table,data/raw/moa_hog_monthly/page_html/2023-07.html,data/raw/moa_hog_monthly/excel_files/2023-07.xlsx,ok,
2023-08,2023-08,month,2023,8,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202308/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2023/202308/202309/P020230927585638831411.xlsx,2023-09-27,excel_url_token,4241.0,万头,2023年8月末能繁母猪存栏（万头）,-0.007,-0.019,quarter_end_stock,17.11,元/公斤,2023年8月份全国生猪出场价格（元/公斤）,0.2,-0.233,html_table,data/raw/moa_hog_monthly/page_html/2023-08.html,data/raw/moa_hog_monthly/excel_files/2023-08.xlsx,ok,
